date,day type,day,week,lunch 1,lunch 2,lunch 3,lunch 4,lunch 5,Event 1,Event 2,Event 3, Event 4,Undefined
10/8/2024,1,E,A,Mozzarella Sticks,,,,,,,,,
10/9/2024,1,F,A,Wednesday Lunch,Lunch 2,Lunch 3,Lunch 4,Milk?,Faculty Meeting,Department Meeting Moved,to next week,,
10/10/2024,1,A,A,French Toast Sticks,Sausage Links,Hash Brown Patty,Fruit Choice,Milk,School Committee Meeting,,,,
10/11/2024,1,B,A,Pizza Party,Choose From a,Variety of Pizzas,Caesar Salad,Fruit & Milk,,,,,
10/12/2024,0,,,,,,,,,,,,
10/13/2024,0,,,,,,,,,,,,
10/14/2024,0,,,,,,,,Columbus Day,,,,
10/15/2024,1,F,B,French Toast Sticks,Sausage Links,Hash Brown Patty,Fruit Choice,Milk,Department Meetings,,,,
10/16/2024,1,A,B,Spicy Chicken Patty on,"a Roll, Lettuce ,Tomato",Seasoned Fries,Coleslaw,Fruit & Milk,,,,,
10/17/2024,1,B,B,Shepherd's Pie,"(Beef, Potato & Corn)",Whole Wheat Roll,Chilled Fruit,Milk,,,,,
10/18/2024,1,C,B,Italian Sandwich,Bag of Chips,Banana Peppers,Three Bean Salad,Fruit & Milk,,,,,
10/19/2024,0,,,,,,,,,,,,
10/20/2024,0,,,,,,,,,,,,
10/21/2024,1,D,B,Chicken & Broccoli,Alfredo,Garlic Bread Stick,Chilled Fruit,Milk,,,,,
10/22/2024,1,E,B,"Nachos w/Beef,Cheese",Salsa & Sour Cream,Black Bean Salad,Assorted Fruit,Milk,,,,,
10/23/2024,1,F,B,Toasted Cheese,Sandwich w/Chips,Tomato Soup,Crackers,Fruit & Milk,,,,,
10/24/2024,1,A,B,Popcorn Chicken Bowl,"w/Mashed Potatoes,",Corn & Gravy,Fruit Choice,Milk,Mid-Semester 1,,,,
10/25/2024,0,,,,,,,,Professional Development Day,,,,
10/26/2024,0,,,,,,,,,,,,
10/27/2024,0,,,,,,,,,,,,
10/28/2024,1,C,A,French Toast Sticks,Sausage Links,Hash Brown Patty,Fruit Choice,Milk,,,,,
10/29/2024,1,D,A,Buffalo Chicken Dip,Celery & Carrot Sticks,Tortilla Chips,Fruit Assortment,Milk,,,,,
10/30/2024,1,E,A,,,,,Fruit & Milk,,,,,
10/31/2024,1,F,A,,,,,Fruit & Milk,College Day,,,,
